"transaction_id","lead_id","agent_id","property_id","sale_date","sale_price","payment_method","commission_amount","commission_rate","original_property_price","governorate_code"
TRANS000050,LEAD000350,AGT002_CA,PROP023965,2025-05-18,8027096.00,Cash,361219.3200,0.0450,6227964.0000,Cairo
TRANS000051,LEAD000351,AGT037_MA,PROP010080,2025-01-29,3618739.00,Bank Transfer,133893.3400,0.0370,2690117.0000,Mansoura
TRANS000052,LEAD000353,AGT010_AL,PROP009055,2025-05-05,4791762.00,Installment,182086.9600,0.0380,3574430.0000,Alexandria
TRANS000053,LEAD000356,AGT040_MA,PROP009445,2024-07-01,1681589.00,Bank Transfer,62218.7900,0.0370,1436747.0000,Mansoura
TRANS000054,LEAD000358,AGT081_SH,PROP001453,2025-01-10,7005575.00,Installment,329262.0300,0.0470,5492032.0000,Sharm El Sheikh
TRANS000055,LEAD000361,AGT080_HU,PROP020168,2024-08-25,6784466.00,Installment,284947.5700,0.0420,4744914.0000,Hurghada
TRANS000056,LEAD000363,AGT029_SO,PROP020477,2024-10-29,6166063.00,Cash,209646.1400,0.0340,4354261.0000,Sohag
TRANS000057,LEAD000366,AGT009_AL,PROP000477,2025-01-14,7998199.00,Cash,303931.5600,0.0380,5544772.0000,Alexandria
TRANS000058,LEAD000375,AGT053_IS,PROP013743,2024-11-15,4755956.00,Bank Transfer,194994.2000,0.0410,3825340.0000,Ismailia
TRANS000059,LEAD000384,AGT060_PS,PROP013894,2024-11-19,3766036.00,Cash,161939.5500,0.0430,2989572.0000,Port Said
TRANS000060,LEAD000392,AGT059_PS,PROP004069,2025-05-24,5319720.00,Installment,228747.9600,0.0430,4084393.0000,Port Said
TRANS000061,LEAD000402,AGT056_IS,PROP022760,2025-06-17,4625346.00,Bank Transfer,189639.1900,0.0410,3611282.0000,Ismailia
TRANS000062,LEAD000407,AGT073_NO,PROP007087,2024-11-01,5159514.00,Installment,227018.6200,0.0440,3942069.0000,North Coast
TRANS000063,LEAD000414,AGT064_SU,PROP002461,2024-12-08,4540610.00,Cash,181624.4000,0.0400,3609392.0000,Suez
TRANS000064,LEAD000432,AGT056_IS,PROP014690,2025-05-09,4814737.00,Cash,197404.2200,0.0410,3560204.0000,Ismailia
TRANS000065,LEAD000434,AGT065_NC,PROP020213,2025-02-26,3399377.00,Installment,163170.1000,0.0480,2786732.0000,New Administrative Capital
TRANS000066,LEAD000445,AGT079_HU,PROP010360,2025-05-05,7068648.00,Installment,296883.2200,0.0420,5205883.0000,Hurghada
TRANS000067,LEAD000448,AGT046_ZA,PROP002682,2025-06-30,4113405.00,Cash,148082.5800,0.0360,3294056.0000,Zagazig
TRANS000068,LEAD000450,AGT075_NO,PROP016773,2024-07-13,5742767.00,Bank Transfer,252681.7500,0.0440,4371736.0000,North Coast
TRANS000069,LEAD000453,AGT084_SH,PROP006285,2025-03-30,5263587.00,Bank Transfer,247388.5900,0.0470,4477252.0000,Sharm El Sheikh
TRANS000070,LEAD000455,AGT065_NC,PROP000504,2024-09-02,7142722.00,Cash,342850.6600,0.0480,5312985.0000,New Administrative Capital
TRANS000071,LEAD000457,AGT012_AL,PROP002009,2024-09-06,3196917.00,Cash,121482.8500,0.0380,2455147.0000,Alexandria
TRANS000072,LEAD000465,AGT006_GZ,PROP011058,2025-06-21,10953213.00,Installment,460034.9500,0.0420,8485062.0000,Giza
TRANS000073,LEAD000485,AGT015_AS,PROP007262,2024-09-01,8776691.00,Bank Transfer,307184.1900,0.0350,5966066.0000,Asyut
TRANS000074,LEAD000486,AGT038_MA,PROP019270,2024-09-24,2287363.00,Bank Transfer,84632.4300,0.0370,1665368.0000,Mansoura
TRANS000075,LEAD000490,AGT018_LU,PROP014485,2025-01-20,3117176.00,Installment,124687.0400,0.0400,2541830.0000,Luxor
TRANS000076,LEAD000491,AGT015_AS,PROP006186,2024-07-05,7903908.00,Cash,276636.7800,0.0350,5883312.0000,Asyut
TRANS000077,LEAD000494,AGT015_AS,PROP000447,2025-01-31,7456935.00,Installment,260992.7300,0.0350,5221058.0000,Asyut
TRANS000078,LEAD000496,AGT006_GZ,PROP006229,2024-07-09,23603036.00,Installment,991327.5100,0.0420,16728767.0000,Giza
TRANS000079,LEAD000500,AGT045_ZA,PROP017059,2025-05-19,3297235.00,Bank Transfer,118700.4600,0.0360,2372754.0000,Zagazig
TRANS000080,LEAD000501,AGT038_MA,PROP002422,2025-03-02,2858452.00,Bank Transfer,105762.7200,0.0370,2138574.0000,Mansoura
TRANS000081,LEAD000504,AGT032_SO,PROP006905,2025-06-25,5316446.00,Installment,180759.1600,0.0340,3906834.0000,Sohag
TRANS000082,LEAD000506,AGT014_AS,PROP004587,2025-03-29,3497147.00,Cash,122400.1500,0.0350,2829694.0000,Asyut
TRANS000083,LEAD000510,AGT072_SZ,PROP013753,2025-05-02,12690242.00,Bank Transfer,583751.1300,0.0460,8620194.0000,Sheikh Zayed
TRANS000084,LEAD000515,AGT045_ZA,PROP007605,2025-03-28,2263253.00,Cash,81477.1100,0.0360,1725306.0000,Zagazig
TRANS000085,LEAD000517,AGT051_DA,PROP009412,2025-05-24,2828312.00,Installment,110304.1700,0.0390,2218761.0000,Damietta
TRANS000086,LEAD000519,AGT003_CA,PROP004580,2024-12-20,10780394.00,Bank Transfer,485117.7300,0.0450,7695075.0000,Cairo
TRANS000087,LEAD000520,AGT025_MN,PROP008501,2025-03-25,3525770.00,Cash,116350.4100,0.0330,2829401.0000,Al Minya
TRANS000088,LEAD000522,AGT007_GZ,PROP011886,2024-10-14,32673924.00,Cash,1372304.8100,0.0420,23386530.0000,Giza
TRANS000089,LEAD000532,AGT069_SZ,PROP011519,2024-09-27,15052737.00,Installment,692425.9000,0.0460,9743399.0000,Sheikh Zayed
TRANS000090,LEAD000533,AGT066_NC,PROP021149,2024-08-03,12992733.00,Cash,623651.1800,0.0480,10152466.0000,New Administrative Capital
TRANS000091,LEAD000540,AGT080_HU,PROP002431,2024-08-09,5228100.00,Installment,219580.2000,0.0420,3752488.0000,Hurghada
TRANS000092,LEAD000546,AGT010_AL,PROP003876,2025-06-06,21330829.00,Bank Transfer,810571.5000,0.0380,15752356.0000,Alexandria
TRANS000093,LEAD000550,AGT052_DA,PROP001963,2024-07-09,5062981.00,Bank Transfer,197456.2600,0.0390,3915315.0000,Damietta
TRANS000094,LEAD000557,AGT018_LU,PROP006105,2025-03-15,8258044.00,Cash,330321.7600,0.0400,6153949.0000,Luxor
TRANS000095,LEAD000565,AGT063_SU,PROP012011,2025-05-29,7519228.00,Installment,300769.1200,0.0400,5925133.0000,Suez
TRANS000096,LEAD000568,AGT035_QE,PROP007903,2025-06-30,3886673.00,Installment,124373.5400,0.0320,2897756.0000,Qena
TRANS000097,LEAD000579,AGT078_HU,PROP018451,2024-11-07,7672214.00,Bank Transfer,322232.9900,0.0420,5667538.0000,Hurghada
TRANS000098,LEAD000584,AGT081_SH,PROP007736,2025-03-12,7566469.00,Bank Transfer,355624.0400,0.0470,5938040.0000,Sharm El Sheikh
TRANS000099,LEAD000587,AGT015_AS,PROP015135,2025-05-14,3068649.00,Installment,107402.7200,0.0350,2617687.0000,Asyut
TRANS000100,LEAD000615,AGT014_AS,PROP013330,2025-06-23,5206831.00,Installment,182239.0900,0.0350,3975273.0000,Asyut
TRANS000101,LEAD000623,AGT076_NO,PROP021731,2025-06-27,11591297.00,Bank Transfer,510017.0700,0.0440,8532447.0000,North Coast
TRANS000102,LEAD000637,AGT066_NC,PROP017135,2024-12-30,8793757.00,Bank Transfer,422100.3400,0.0480,6574815.0000,New Administrative Capital
TRANS000103,LEAD000649,AGT012_AL,PROP011358,2025-02-17,15089624.00,Installment,573405.7100,0.0380,12423444.0000,Alexandria
TRANS000104,LEAD000659,AGT040_MA,PROP015499,2025-05-03,2621564.00,Cash,96997.8700,0.0370,2013420.0000,Mansoura
TRANS000105,LEAD000660,AGT042_TA,PROP016299,2024-10-16,6011575.00,Cash,210405.1300,0.0350,4296378.0000,Tanta
TRANS000106,LEAD000662,AGT047_ZA,PROP019923,2025-04-13,1500688.00,Cash,54024.7700,0.0360,1285118.0000,Zagazig
TRANS000107,LEAD000669,AGT032_SO,PROP018585,2025-05-10,4448472.00,Installment,151248.0500,0.0340,3645684.0000,Sohag
TRANS000108,LEAD000672,AGT078_HU,PROP003548,2024-12-15,24377039.00,Cash,1023835.6400,0.0420,18002703.0000,Hurghada
TRANS000109,LEAD000673,AGT013_AS,PROP018140,2025-02-27,15455618.00,Cash,540946.6300,0.0350,10501816.0000,Asyut
TRANS000110,LEAD000675,AGT043_TA,PROP010924,2025-04-17,6776559.00,Bank Transfer,237179.5700,0.0350,4978616.0000,Tanta
TRANS000111,LEAD000676,AGT018_LU,PROP011457,2024-09-29,3837099.00,Installment,153483.9600,0.0400,2807642.0000,Luxor
TRANS000112,LEAD000681,AGT039_MA,PROP020893,2025-06-11,2841164.00,Bank Transfer,105123.0700,0.0370,2185659.0000,Mansoura
TRANS000113,LEAD000683,AGT043_TA,PROP015498,2025-06-27,2003883.00,Installment,70135.9100,0.0350,1677010.0000,Tanta
TRANS000114,LEAD000691,AGT068_NC,PROP021553,2025-03-01,5826810.00,Cash,279686.8800,0.0480,4054975.0000,New Administrative Capital
TRANS000115,LEAD000694,AGT061_SU,PROP010346,2025-05-09,5363848.00,Bank Transfer,214553.9200,0.0400,3895807.0000,Suez
TRANS000116,LEAD000697,AGT020_LU,PROP010730,2025-02-04,1792447.00,Cash,71697.8800,0.0400,1401250.0000,Luxor
TRANS000117,LEAD000699,AGT039_MA,PROP014304,2025-05-06,1683074.00,Bank Transfer,62273.7400,0.0370,1263020.0000,Mansoura
TRANS000118,LEAD000705,AGT008_GZ,PROP005085,2025-06-30,5246225.00,Cash,220341.4500,0.0420,3784386.0000,Giza
TRANS000119,LEAD000706,AGT055_IS,PROP009015,2024-11-12,4489149.00,Installment,184055.1100,0.0410,3627968.0000,Ismailia
TRANS000120,LEAD000712,AGT084_SH,PROP011967,2025-06-23,7390790.00,Bank Transfer,347367.1300,0.0470,5492382.0000,Sharm El Sheikh
TRANS000121,LEAD000719,AGT007_GZ,PROP024189,2025-04-07,9295735.00,Cash,390420.8700,0.0420,6804761.0000,Giza
TRANS000122,LEAD000724,AGT055_IS,PROP022124,2025-04-17,2447022.00,Installment,100327.9000,0.0410,2090790.0000,Ismailia
TRANS000123,LEAD000726,AGT082_SH,PROP014701,2025-06-25,4463971.00,Cash,209806.6400,0.0470,3648231.0000,Sharm El Sheikh
TRANS000124,LEAD000732,AGT079_HU,PROP018417,2025-01-03,6136595.00,Installment,257736.9900,0.0420,4425421.0000,Hurghada
TRANS000125,LEAD000735,AGT004_CA,PROP017194,2025-06-30,9435518.00,Cash,424598.3100,0.0450,6639753.0000,Cairo
TRANS000126,LEAD000741,AGT010_AL,PROP011464,2024-12-30,21780239.00,Cash,827649.0800,0.0380,15221519.0000,Alexandria
TRANS000127,LEAD000747,AGT026_MN,PROP007451,2024-10-10,6338672.00,Bank Transfer,209176.1800,0.0330,4688724.0000,Al Minya
TRANS000128,LEAD000750,AGT054_IS,PROP001077,2025-05-22,5927156.00,Installment,243013.4000,0.0410,4444670.0000,Ismailia
TRANS000129,LEAD000753,AGT004_CA,PROP008746,2025-05-24,8226269.00,Cash,370182.1000,0.0450,5827910.0000,Cairo
TRANS000130,LEAD000763,AGT002_CA,PROP002454,2024-09-12,2029717.00,Cash,91337.2600,0.0450,1612449.0000,Cairo
TRANS000131,LEAD000769,AGT020_LU,PROP014257,2024-10-21,3060029.00,Bank Transfer,122401.1600,0.0400,2491335.0000,Luxor
TRANS000132,LEAD000770,AGT041_TA,PROP014512,2025-05-09,1196256.00,Installment,41868.9600,0.0350,984903.0000,Tanta
TRANS000133,LEAD000785,AGT071_SZ,PROP020551,2025-02-21,25869595.00,Cash,1190001.3700,0.0460,19561347.0000,Sheikh Zayed
TRANS000134,LEAD000790,AGT027_MN,PROP008841,2025-03-04,5147493.00,Bank Transfer,169867.2700,0.0330,3840806.0000,Al Minya
TRANS000135,LEAD000794,AGT073_NO,PROP021443,2024-11-29,18936274.00,Cash,833196.0600,0.0440,14203944.0000,North Coast
TRANS000136,LEAD000801,AGT060_PS,PROP009656,2024-12-12,2908879.00,Bank Transfer,125081.8000,0.0430,2211371.0000,Port Said
TRANS000137,LEAD000812,AGT083_SH,PROP020607,2025-02-13,10485527.00,Bank Transfer,492819.7700,0.0470,7784732.0000,Sharm El Sheikh
TRANS000138,LEAD000819,AGT084_SH,PROP015175,2025-01-08,6157312.00,Cash,289393.6600,0.0470,5043082.0000,Sharm El Sheikh
TRANS000139,LEAD000832,AGT021_AW,PROP005474,2025-02-12,9484697.00,Cash,341449.0900,0.0360,7810787.0000,Aswan
TRANS000140,LEAD000833,AGT003_CA,PROP000341,2025-03-20,2179188.00,Installment,98063.4600,0.0450,1735244.0000,Cairo
TRANS000141,LEAD000837,AGT008_GZ,PROP016313,2025-04-06,14542385.00,Installment,610780.1700,0.0420,10041466.0000,Giza
TRANS000142,LEAD000840,AGT033_QE,PROP019177,2025-01-24,3422650.00,Installment,109524.8000,0.0320,2569126.0000,Qena
TRANS000143,LEAD000846,AGT069_SZ,PROP000830,2024-11-08,16126733.00,Cash,741829.7200,0.0460,13043612.0000,Sheikh Zayed
TRANS000144,LEAD000858,AGT032_SO,PROP013882,2024-08-18,5333708.00,Cash,181346.0700,0.0340,4131833.0000,Sohag
TRANS000145,LEAD000862,AGT005_GZ,PROP005128,2025-06-14,17505697.00,Bank Transfer,735239.2700,0.0420,13267483.0000,Giza
TRANS000146,LEAD000866,AGT002_CA,PROP001084,2025-05-14,4344086.00,Installment,195483.8700,0.0450,3398677.0000,Cairo
TRANS000147,LEAD000883,AGT036_QE,PROP017956,2025-03-02,5856062.00,Cash,187393.9800,0.0320,4484566.0000,Qena
TRANS000148,LEAD000886,AGT028_MN,PROP024640,2025-06-27,4037669.00,Cash,133243.0800,0.0330,3059436.0000,Al Minya
TRANS000149,LEAD000900,AGT084_SH,PROP003621,2025-05-24,7619725.00,Cash,358127.0800,0.0470,5545089.0000,Sharm El Sheikh
TRANS000150,LEAD000922,AGT023_AW,PROP005193,2024-07-11,4164325.00,Bank Transfer,149915.7000,0.0360,3113640.0000,Aswan
TRANS000151,LEAD000926,AGT015_AS,PROP004745,2025-03-27,19136331.00,Installment,669771.5900,0.0350,13322710.0000,Asyut
TRANS000152,LEAD000929,AGT003_CA,PROP011706,2025-03-20,7884473.00,Installment,354801.2800,0.0450,6151299.0000,Cairo
TRANS000153,LEAD000938,AGT057_PS,PROP003911,2024-09-23,3121726.00,Installment,134234.2200,0.0430,2434015.0000,Port Said
TRANS000154,LEAD000943,AGT038_MA,PROP005875,2025-06-27,1400920.00,Bank Transfer,51834.0400,0.0370,1204908.0000,Mansoura
TRANS000155,LEAD000947,AGT081_SH,PROP000193,2025-06-19,8864455.00,Cash,416629.3800,0.0470,6225146.0000,Sharm El Sheikh
TRANS000156,LEAD000954,AGT057_PS,PROP004907,2025-05-15,11555861.00,Bank Transfer,496902.0200,0.0430,8964867.0000,Port Said
TRANS000157,LEAD000963,AGT007_GZ,PROP008659,2025-03-04,12663453.00,Cash,531865.0300,0.0420,10284713.0000,Giza
TRANS000158,LEAD000967,AGT020_LU,PROP023783,2024-10-13,940061.00,Bank Transfer,37602.4400,0.0400,725455.0000,Luxor
TRANS000159,LEAD000971,AGT046_ZA,PROP005294,2025-06-30,2361543.00,Installment,85015.5500,0.0360,1749513.0000,Zagazig
TRANS000160,LEAD000979,AGT027_MN,PROP008866,2025-05-31,4553191.00,Installment,150255.3000,0.0330,3424717.0000,Al Minya
TRANS000161,LEAD000992,AGT006_GZ,PROP020501,2025-04-23,13088285.00,Cash,549707.9700,0.0420,8952041.0000,Giza
TRANS000162,LEAD001001,AGT018_LU,PROP014328,2024-12-12,3710695.00,Cash,148427.8000,0.0400,3052972.0000,Luxor
TRANS000163,LEAD001002,AGT010_AL,PROP022086,2025-06-30,4086509.00,Bank Transfer,155287.3400,0.0380,2965048.0000,Alexandria
TRANS000164,LEAD001003,AGT014_AS,PROP016843,2024-12-31,4277212.00,Installment,149702.4200,0.0350,3092662.0000,Asyut
TRANS000165,LEAD001005,AGT021_AW,PROP002508,2025-06-12,8805482.00,Cash,316997.3500,0.0360,6735104.0000,Aswan
TRANS000166,LEAD001016,AGT058_PS,PROP018900,2025-02-14,3198473.00,Bank Transfer,137534.3400,0.0430,2392282.0000,Port Said
TRANS000167,LEAD001018,AGT042_TA,PROP015772,2024-10-18,4595440.00,Cash,160840.4000,0.0350,3261126.0000,Tanta
TRANS000168,LEAD001031,AGT080_HU,PROP022289,2024-12-20,1291177.00,Cash,54229.4300,0.0420,1046927.0000,Hurghada
TRANS000169,LEAD001050,AGT027_MN,PROP022246,2024-09-28,3059900.00,Bank Transfer,100976.7000,0.0330,2256584.0000,Al Minya
TRANS000170,LEAD001066,AGT016_AS,PROP016728,2025-06-30,2296714.00,Bank Transfer,80384.9900,0.0350,1876418.0000,Asyut
TRANS000171,LEAD001067,AGT022_AW,PROP001067,2025-06-25,4984078.00,Installment,179426.8100,0.0360,4232540.0000,Aswan
TRANS000172,LEAD001073,AGT046_ZA,PROP005762,2025-01-01,6876291.00,Installment,247546.4800,0.0360,4769129.0000,Zagazig
TRANS000173,LEAD001091,AGT038_MA,PROP009731,2025-03-31,3567671.00,Installment,132003.8300,0.0370,2825750.0000,Mansoura
TRANS000174,LEAD001095,AGT026_MN,PROP007121,2025-02-06,3147404.00,Cash,103864.3300,0.0330,2650533.0000,Al Minya
TRANS000175,LEAD001111,AGT077_HU,PROP014720,2024-11-11,8189010.00,Cash,343938.4200,0.0420,6128883.0000,Hurghada
TRANS000176,LEAD001112,AGT047_ZA,PROP007388,2025-01-29,3463314.00,Cash,124679.3000,0.0360,2619844.0000,Zagazig
TRANS000177,LEAD001118,AGT074_NO,PROP003576,2025-04-26,11156595.00,Bank Transfer,490890.1800,0.0440,8564835.0000,North Coast
TRANS000178,LEAD001121,AGT072_SZ,PROP024425,2024-11-11,11481935.00,Bank Transfer,528169.0100,0.0460,8689821.0000,Sheikh Zayed
TRANS000179,LEAD001125,AGT080_HU,PROP000974,2025-06-30,7220113.00,Installment,303244.7500,0.0420,5319572.0000,Hurghada
TRANS000180,LEAD001132,AGT017_LU,PROP017211,2024-09-27,988278.00,Bank Transfer,39531.1200,0.0400,786900.0000,Luxor
TRANS000181,LEAD001142,AGT020_LU,PROP011303,2024-09-02,4226945.00,Bank Transfer,169077.8000,0.0400,3036428.0000,Luxor
TRANS000182,LEAD001146,AGT015_AS,PROP007371,2025-02-07,4206199.00,Installment,147216.9700,0.0350,3353957.0000,Asyut
TRANS000183,LEAD001147,AGT010_AL,PROP023351,2024-11-11,9826270.00,Cash,373398.2600,0.0380,7772115.0000,Alexandria
TRANS000184,LEAD001149,AGT009_AL,PROP021348,2024-11-18,14771229.00,Bank Transfer,561306.7000,0.0380,10743122.0000,Alexandria
TRANS000185,LEAD001157,AGT084_SH,PROP020435,2025-02-23,6582750.00,Installment,309389.2500,0.0470,5301431.0000,Sharm El Sheikh
TRANS000186,LEAD001158,AGT010_AL,PROP023351,2025-06-30,9826270.00,Installment,373398.2600,0.0380,7772115.0000,Alexandria
TRANS000187,LEAD001162,AGT008_GZ,PROP012832,2025-06-14,16343716.00,Installment,686436.0700,0.0420,12869522.0000,Giza
TRANS000188,LEAD001163,AGT008_GZ,PROP021658,2024-10-13,16453254.00,Installment,691036.6700,0.0420,11829374.0000,Giza
TRANS000189,LEAD001168,AGT046_ZA,PROP022826,2024-12-26,3996862.00,Installment,143887.0300,0.0360,3127052.0000,Zagazig
TRANS000190,LEAD001173,AGT038_MA,PROP022316,2025-01-29,5178988.00,Cash,191622.5600,0.0370,4246576.0000,Mansoura
TRANS000191,LEAD001191,AGT029_SO,PROP002142,2024-10-04,17354794.00,Installment,590063.0000,0.0340,12552842.0000,Sohag
TRANS000192,LEAD001195,AGT033_QE,PROP024069,2025-05-30,5834042.00,Installment,186689.3400,0.0320,4533682.0000,Qena
TRANS000193,LEAD001200,AGT042_TA,PROP000673,2025-05-02,3690609.00,Cash,129171.3200,0.0350,2861590.0000,Tanta
TRANS000194,LEAD001203,AGT040_MA,PROP013853,2024-11-14,926420.00,Cash,34277.5400,0.0370,713134.0000,Mansoura
TRANS000195,LEAD001212,AGT078_HU,PROP005595,2024-12-27,19683903.00,Bank Transfer,826723.9300,0.0420,13951459.0000,Hurghada
TRANS000196,LEAD001214,AGT049_DA,PROP003462,2024-11-28,2767070.00,Bank Transfer,107915.7300,0.0390,2204714.0000,Damietta
TRANS000197,LEAD001230,AGT031_SO,PROP023271,2025-02-11,10875168.00,Cash,369755.7100,0.0340,7482318.0000,Sohag
